customer_ID,Platform,Content,TimeStamp,Sentiment Score,Intent
CUST2025UE,Instagram,Finally got the new iPhone! 📱,2025-03-22 14:26:07,-0.78,Purchase Intent
CUST2025UE,Instagram,Canon EOS is perfect for portraits!,2024-10-31 17:27:08,0.09,General Sentiment
CUST2025UE,Twitter,Test shots with my new Sony Alpha 📸,2024-11-30 06:23:12,0.28,General Sentiment
CUST2025QB,Instagram,Trader Joe's has the best snacks!,2024-12-02 08:10:52,-0.47,Feedback
CUST2025QB,Twitter,Finally got the new iPhone! 📱,2024-11-29 08:39:22,0.19,Purchase Intent
CUST2025UI,Twitter,Late night cravings? Uber Eats to the rescue 🍕,2024-11-04 05:49:08,-0.06,Feedback
CUST2025UI,Twitter,Canon EOS is perfect for portraits!,2024-11-22 06:44:02,-0.38,Complaint
CUST2025UI,Instagram,Late night cravings? Uber Eats to the rescue 🍕,2025-01-28 18:02:45,-0.08,Feedback
CUST2025SB,Facebook,Canon EOS is perfect for portraits!,2024-11-11 14:19:28,-0.72,Complaint
CUST2025SB,Twitter,Exploring some new commercial spaces for my next venture!,2024-11-27 23:57:43,-0.56,Complaint
CUST2025LU,Instagram,Late night cravings? Uber Eats to the rescue 🍕,2025-03-24 13:40:15,-0.27,Feedback
CUST2025LU,Twitter,GrubHub never disappoints 😋,2025-01-11 15:40:07,0.33,Feedback
CUST2025TT,Twitter,Equinox workouts hit different 💪,2025-02-25 02:58:26,0.75,Feedback
CUST2025TT,Facebook,GrubHub never disappoints 😋,2024-12-06 04:52:42,0.97,Feedback
CUST2025TT,Instagram,Netflix & chill kind of evening 🎬,2024-11-04 10:35:40,0.88,Feedback
CUST2025LI,Instagram,Weekly grocery haul from Walmart 🛒,2025-01-14 07:36:37,0.98,Feedback
CUST2025VJ,Facebook,Finally got the new iPhone! 📱,2024-11-19 12:22:02,-0.6,Purchase Intent
CUST2025VJ,Facebook,Retail leasing is the next big move 🏢,2024-11-20 15:21:49,-0.33,Complaint
CUST2025VJ,Facebook,Back on the grind at Planet Fitness 🏋️,2024-10-15 15:13:39,0.87,Feedback
CUST2025VJ,Twitter,Can't wait for my business trip to London! 🛫,2025-02-21 05:30:22,-0.6,Purchase Intent
CUST2025DA,Twitter,Can't wait for my business trip to London! 🛫,2024-11-06 21:03:48,-0.8,Purchase Intent
CUST2025DA,Facebook,Shopping spree at Louis Vuitton today 💼✨,2024-12-11 16:10:19,0.73,Purchase Intent
CUST2025DA,Facebook,Trader Joe's has the best snacks!,2025-02-28 11:28:22,0.33,Feedback
CUST2025DA,Twitter,MacBook setup day! Love it 😍,2024-10-25 06:16:36,0.63,Purchase Intent
CUST2025CQ,Twitter,Equinox workouts hit different 💪,2025-01-17 23:47:14,-0.58,Complaint
CUST2025CQ,Facebook,Back on the grind at Planet Fitness 🏋️,2024-12-05 13:55:01,-0.4,Complaint
CUST2025CQ,Instagram,Can't wait for my business trip to London! 🛫,2025-02-03 00:03:28,-0.72,Purchase Intent
